Type,Diameter,Height
M,0.465,0.165
M,0.46,0.15
M,0.45,0.145
M,0.51,0.185
M,0.475,0.175
M,0.475,0.155
M,0.47,0.13
M,0.475,0.205
M,0.455,0.16
M,0.475,0.155
M,0.475,0.14
M,0.475,0.175
M,0.49,0.18
M,0.485,0.145
M,0.47,0.165
M,0.47,0.16
M,0.47,0.17
M,0.475,0.175
M,0.485,0.17
M,0.47,0.155
M,0.475,0.15
M,0.365,0.155
M,0.51,0.15
M,0.48,0.175
M,0.475,0.175
M,0.47,0.15
M,0.475,0.19
M,0.475,0.15
M,0.53,0.17
M,0.5,0.165
M,0.48,0.165
M,0.49,0.15
M,0.47,0.15
M,0.49,0.155
M,0.485,0.165
M,0.46,0.16
M,0.455,0.17
M,0.5,0.17
M,0.495,0.175
M,0.515,0.17
M,0.47,0.175
M,0.48,0.16
M,0.485,0.16
M,0.47,0.15
M,0.495,0.155
M,0.495,0.155
M,0.495,0.175
M,0.48,0.16
M,0.47,0.145
M,0.455,0.15
M,0.505,0.17
M,0.49,0.155
M,0.53,0.18
M,0.49,0.15
M,0.51,0.17
M,0.5,0.18
M,0.5,0.18
M,0.49,0.155
M,0.485,0.16
M,0.5,0.17
M,0.51,0.19
M,0.51,0.16
M,0.485,0.15
M,0.5,0.16
M,0.495,0.15
M,0.49,0.16
M,0.515,0.16
M,0.48,0.15
M,0.495,0.16
M,0.51,0.19
M,0.51,0.16
M,0.515,0.125
M,0.52,0.175
M,0.51,0.155
M,0.52,0.155
M,0.505,0.18
M,0.525,0.185
M,0.52,0.165
M,0.52,0.17
M,0.535,0.19
M,0.5,0.165
M,0.515,0.195
M,0.5,0.175
M,0.52,0.19
M,0.525,0.17
M,0.525,0.195
M,0.525,0.18
M,0.545,0.205
M,0.51,0.18
M,0.565,0.18
M,0.55,0.2
M,0.57,0.19
M,0.225,0.08
M,0.25,0.09
M,0.235,0.09
M,0.265,0.085
M,0.275,0.09
M,0.255,0.08
M,0.265,0.09
M,0.255,0.065
M,0.26,0.09
M,0.295,0.13
M,0.285,0.1
M,0.29,0.09
M,0.28,0.095
M,0.305,0.085
M,0.315,0.105
M,0.325,0.14
M,0.34,0.12
M,0.35,0.11
M,0.365,0.125
M,0.34,0.105
M,0.345,0.09
M,0.355,0.11
M,0.35,0.1
M,0.335,0.125
M,0.355,0.115
M,0.35,0.12
M,0.38,0.135
M,0.365,0.125
M,0.34,0.135
M,0.355,0.14
M,0.36,0.13
M,0.405,0.135
M,0.36,0.105
M,0.36,0.135
M,0.365,0.135
M,0.37,0.105
M,0.375,0.13
M,0.375,0.125
M,0.375,0.12
M,0.37,0.125
M,0.36,0.13
M,0.4,0.135
M,0.37,0.14
M,0.355,0.12
M,0.38,0.14
M,0.38,0.12
M,0.375,0.15
M,0.385,0.115
M,0.4,0.14
M,0.39,0.125
M,0.4,0.14
M,0.405,0.13
M,0.435,0.145
M,0.38,0.135
M,0.385,0.13
M,0.395,0.125
M,0.385,0.165
M,0.365,0.17
M,0.405,0.135
M,0.415,0.14
M,0.435,0.155
M,0.425,0.13
M,0.405,0.15
M,0.43,0.135
M,0.42,0.135
M,0.42,0.145
M,0.43,0.155
M,0.44,0.165
M,0.42,0.16
M,0.455,0.14
M,0.415,0.17
M,0.42,0.19
M,0.425,0.12
M,0.46,0.16
M,0.425,0.135
M,0.405,0.14
M,0.45,0.15
M,0.425,0.15
M,0.435,0.14
M,0.42,0.16
M,0.44,0.135
M,0.46,0.175
M,0.43,0.18
M,0.43,0.13
M,0.45,0.175
M,0.405,0.19
M,0.46,0.16
M,0.44,0.16
M,0.425,0.135
M,0.45,0.155
M,0.44,0.16
M,0.44,0.13
M,0.45,0.155
M,0.43,0.15
M,0.435,0.145
M,0.435,0.13
M,0.45,0.155
M,0.45,0.155
M,0.435,0.17
M,0.45,0.145
M,0.47,0.155
M,0.44,0.145
M,0.445,0.16
M,0.46,0.155
M,0.47,0.185
M,0.44,0.185
M,0.435,0.135
M,0.445,0.145
M,0.445,0.14
M,0.435,0.13
M,0.47,0.165
M,0.455,0.15
M,0.46,0.155
M,0.455,0.135
M,0.46,0.155
M,0.43,0.13
M,0.44,0.15
M,0.44,0.175
M,0.46,0.15
M,0.43,0.125
M,0.45,0.14
M,0.46,0.185
M,0.49,0.185
M,0.46,0.165
M,0.47,0.165
M,0.475,0.15
M,0.455,0.145
M,0.48,0.185
M,0.465,0.165
M,0.46,0.15
M,0.455,0.155
M,0.49,0.165
M,0.465,0.165
M,0.475,0.14
M,0.46,0.145
M,0.44,0.135
M,0.45,0.14
M,0.45,0.145
M,0.455,0.15
M,0.465,0.125
M,0.49,0.185
M,0.475,0.14
M,0.47,0.155
M,0.46,0.17
M,0.48,0.185
M,0.46,0.155
M,0.465,0.155
M,0.475,0.17
M,0.47,0.16
M,0.475,0.15
M,0.49,0.21
M,0.45,0.16
M,0.45,0.195
M,0.46,0.18
M,0.47,0.16
M,0.465,0.155
M,0.48,0.17
M,0.49,0.14
M,0.475,0.15
M,0.47,0.18
M,0.475,0.175
M,0.475,0.19
M,0.455,0.16
M,0.475,0.155
M,0.45,0.15
M,0.475,0.17
M,0.48,0.17
M,0.46,0.16
M,0.475,0.155
M,0.49,0.16
M,0.48,0.185
M,0.47,0.175
M,0.45,0.19
M,0.46,0.17
M,0.47,0.165
M,0.5,0.17
M,0.475,0.17
M,0.47,0.16
M,0.495,0.2
M,0.475,0.175
M,0.455,0.15
M,0.505,0.165
M,0.48,0.185
M,0.455,0.13
M,0.51,0.175
M,0.485,0.155
M,0.47,0.145
M,0.48,0.15
M,0.475,0.195
M,0.525,0.155
M,0.48,0.165
M,0.465,0.145
M,0.49,0.175
M,0.52,0.175
M,0.475,0.16
M,0.505,0.185
M,0.48,0.17
M,0.48,0.145
M,0.5,0.14
M,0.49,0.165
M,0.475,0.175
M,0.515,0.165
M,0.49,0.12
M,0.495,0.18
M,0.48,0.18
M,0.5,0.185
M,0.48,0.175
M,0.5,0.175
M,0.5,0.175
M,0.485,0.165
M,0.5,0.185
M,0.51,0.175
M,0.525,0.195
M,0.49,0.165
M,0.485,0.16
M,0.495,0.18
M,0.525,0.185
M,0.49,0.16
M,0.475,0.17
M,0.51,0.155
M,0.515,0.165
M,0.485,0.18
M,0.495,0.155
M,0.495,0.17
M,0.48,0.145
M,0.505,0.155
M,0.515,0.165
M,0.525,0.18
M,0.515,0.18
M,0.485,0.15
M,0.495,0.17
M,0.515,0.08
M,0.51,0.17
M,0.53,0.195
M,0.5,0.195
M,0.505,0.15
M,0.51,0.195
M,0.5,0.175
M,0.505,0.185
M,0.505,0.165
M,0.525,0.185
M,0.515,0.175
M,0.485,0.16
M,0.495,0.16
M,0.49,0.175
M,0.55,0.18
M,0.545,0.19
M,0.505,0.165
M,0.52,0.19
M,0.495,0.195
M,0.505,0.165
M,0.53,0.195
M,0.515,0.165
M,0.525,0.2
M,0.525,0.18
M,0.53,0.175
M,0.51,0.18
M,0.515,0.155
M,0.525,0.155
M,0.51,0.175
M,0.5,0.19
M,0.54,0.175
M,0.525,0.18
M,0.52,0.175
M,0.51,0.2
M,0.515,0.145
M,0.52,0.195
M,0.54,0.155
M,0.52,0.165
M,0.535,0.155
M,0.505,0.19
M,0.51,0.165
M,0.55,0.19
M,0.505,0.2
M,0.53,0.19
M,0.56,0.185
M,0.55,0.205
M,0.53,0.21
M,0.565,0.175
M,0.525,0.175
M,0.6,0.23
M,0.545,0.215
M,0.56,0.165
M,0.565,0.175
M,0.535,0.19
M,0.545,0.18
M,0.525,0.2
M,0.57,0.2
M,0.55,0.205
M,0.57,0.21
M,0.57,0.18
M,0.58,0.205
M,0.6,0.215
M,0.235,0.06
M,0.25,0.09
M,0.245,0.075
M,0.245,0.085
M,0.28,0.095
M,0.3,0.1
M,0.285,0.1
M,0.31,0.1
M,0.31,0.11
M,0.31,0.125
M,0.32,0.1
M,0.34,0.125
M,0.345,0.115
M,0.335,0.14
M,0.35,0.12
M,0.355,0.13
M,0.35,0.105
M,0.36,0.08
M,0.35,0.12
M,0.36,0.125
M,0.375,0.12
M,0.38,0.135
M,0.395,0.14
M,0.41,0.15
M,0.39,0.145
M,0.39,0.13
M,0.385,0.135
M,0.4,0.145
M,0.42,0.125
M,0.4,0.13
M,0.39,0.105
M,0.395,0.125
M,0.42,0.16
M,0.41,0.115
M,0.4,0.17
M,0.4,0.13
M,0.4,0.14
M,0.42,0.165
M,0.41,0.165
M,0.41,0.155
M,0.42,0.125
M,0.41,0.15
M,0.42,0.135
M,0.45,0.15
M,0.44,0.14
M,0.45,0.15
M,0.435,0.145
M,0.45,0.13
M,0.45,0.17
M,0.42,0.145
M,0.45,0.145
M,0.455,0.155
M,0.435,0.18
M,0.455,0.165
M,0.45,0.145
M,0.39,0.125
M,0.455,0.155
M,0.44,0.115
M,0.44,0.155
M,0.48,0.175
M,0.46,0.155
M,0.455,0.155
M,0.455,0.15
M,0.425,0.14
M,0.47,0.14
M,0.455,0.155
M,0.475,0.15
M,0.465,0.145
M,0.47,0.165
M,0.46,0.18
M,0.445,0.15
M,0.455,0.15
M,0.43,0.16
M,0.45,0.175
M,0.51,0.16
M,0.45,0.15
M,0.44,0.15
M,0.465,0.155
M,0.49,0.135
M,0.455,0.145
M,0.5,0.165
M,0.475,0.175
M,0.495,0.175
M,0.48,0.155
M,0.46,0.155
M,0.495,0.175
M,0.46,0.17
M,0.495,0.185
M,0.465,0.165
M,0.475,0.15
M,0.475,0.23
M,0.46,0.155
M,0.47,0.165
M,0.49,0.165
M,0.47,0.15
M,0.48,0.14
M,0.47,0.145
M,0.475,0.17
M,0.485,0.215
M,0.495,0.155
M,0.475,0.155
M,0.47,0.175
M,0.475,0.205
M,0.465,0.19
M,0.49,0.16
M,0.5,0.18
M,0.48,0.155
M,0.485,0.145
M,0.47,0.18
M,0.49,0.165
M,0.49,0.185
M,0.495,0.155
M,0.495,0.185
M,0.495,0.175
M,0.485,0.17
M,0.49,0.165
M,0.47,0.17
M,0.49,0.19
M,0.48,0.15
M,0.49,0.17
M,0.495,0.175
M,0.505,0.15
M,0.515,0.175
M,0.515,0.17
M,0.48,0.185
M,0.485,0.18
M,0.505,0.155
M,0.49,0.155
M,0.49,0.175
M,0.495,0.195
M,0.495,0.15
M,0.52,0.175
M,0.515,0.16
M,0.525,0.185
M,0.53,0.165
M,0.505,0.155
M,0.505,0.18
M,0.575,0.175
M,0.495,0.165
M,0.52,0.175
M,0.5,0.175
M,0.51,0.16
M,0.525,0.16
M,0.51,0.155
M,0.49,0.175
M,0.5,0.18
M,0.51,0.165
M,0.525,0.175
M,0.52,0.21
M,0.5,0.155
M,0.525,0.175
M,0.505,0.19
M,0.525,0.185
M,0.525,0.19
M,0.505,0.17
M,0.515,0.18
M,0.52,0.17
M,0.495,0.17
M,0.525,0.19
M,0.515,0.16
M,0.51,0.215
M,0.59,0.2
M,0.54,0.165
M,0.52,0.18
M,0.525,0.16
M,0.51,0.175
M,0.515,0.2
M,0.505,0.19
M,0.525,0.175
M,0.505,0.16
M,0.515,0.19
M,0.525,0.165
M,0.545,0.2
M,0.52,0.165
M,0.5,0.2
M,0.515,0.165
M,0.54,0.195
M,0.535,0.19
M,0.525,0.2
M,0.515,0.15
M,0.52,0.145
M,0.505,0.16
M,0.51,0.17
M,0.515,0.17
M,0.52,0.165
M,0.53,0.18
M,0.515,0.16
M,0.54,0.195
M,0.52,0.175
M,0.545,0.185
M,0.52,0.15
M,0.55,0.2
M,0.53,0.17
M,0.535,0.175
M,0.55,0.18
M,0.55,0.195
M,0.53,0.19
M,0.54,0.195
M,0.55,0.195
M,0.555,0.2
M,0.545,0.185
M,0.555,0.215
M,0.55,0.21
M,0.565,0.205
M,0.575,0.215
M,0.56,0.22
M,0.565,0.2
M,0.57,0.195
M,0.555,0.175
M,0.55,0.175
M,0.56,0.18
M,0.565,0.19
M,0.585,0.22
M,0.565,0.2
M,0.545,0.195
M,0.575,0.21
M,0.585,0.185
M,0.59,0.215
M,0.57,0.175
M,0.595,0.19
M,0.565,0.215
M,0.55,0.18
M,0.555,0.215
M,0.605,0.175
M,0.6,0.21
M,0.265,0.09
M,0.285,0.105
M,0.295,0.115
M,0.28,0.08
M,0.325,0.12
M,0.315,0.125
M,0.36,0.16
M,0.345,0.125
M,0.375,0.135
M,0.355,0.11
M,0.375,0.12
M,0.37,0.135
M,0.38,0.13
M,0.385,0.125
M,0.385,0.135
M,0.38,0.135
M,0.4,0.13
M,0.405,0.155
M,0.38,0.155
M,0.38,0.135
M,0.385,0.15
M,0.405,0.14
M,0.395,0.135
M,0.4,0.155
M,0.4,0.13
M,0.395,0.145
M,0.385,0.115
M,0.4,0.165
M,0.425,0.12
M,0.415,0.16
M,0.435,0.135
M,0.44,0.15
M,0.42,0.15
M,0.42,0.155
M,0.415,0.145
M,0.44,0.12
M,0.45,0.155
M,0.46,0.13
M,0.41,0.15
M,0.44,0.15
M,0.46,0.235
M,0.425,0.1
M,0.45,0.14
M,0.46,0.14
M,0.45,0.16
M,0.45,0.165
M,0.45,0.185
M,0.465,0.16
M,0.455,0.155
M,0.445,0.14
M,0.46,0.13
M,0.47,0.15
M,0.47,0.175
M,0.45,0.15
M,0.475,0.16
M,0.47,0.16
M,0.5,0.175
M,0.445,0.14
M,0.485,0.175
M,0.485,0.17
M,0.48,0.165
M,0.5,0.165
M,0.505,0.165
M,0.51,0.175
M,0.465,0.185
M,0.495,0.18
M,0.48,0.15
M,0.485,0.155
M,0.51,0.175
M,0.5,0.2
M,0.5,0.18
M,0.49,0.18
M,0.48,0.145
M,0.485,0.145
M,0.495,0.16
M,0.505,0.175
M,0.47,0.15
M,0.49,0.16
M,0.5,0.17
M,0.525,0.16
M,0.5,0.165
M,0.585,0.195
M,0.5,0.175
M,0.5,0.175
M,0.495,0.19
M,0.51,0.19
M,0.51,0.175
M,0.51,0.175
M,0.515,0.185
M,0.51,0.175
M,0.52,0.175
M,0.515,0.2
M,0.525,0.18
M,0.505,0.16
M,0.54,0.175
M,0.535,0.185
M,0.54,0.19
M,0.53,0.21
M,0.525,0.2
M,0.525,0.175
M,0.575,0.19
M,0.55,0.175
M,0.555,0.195
M,0.55,0.19
M,0.52,0.18
M,0.575,0.215
M,0.565,0.2
M,0.6,0.235
M,0.505,0.185
M,0.59,0.205
M,0.555,0.22
M,0.58,0.205
M,0.575,0.2
M,0.595,0.205
M,0.6,0.22
M,0.585,0.18
M,0.62,0.195
M,0.63,0.25
M,0.255,0.085
M,0.345,0.135
M,0.345,0.15
M,0.355,0.135
M,0.355,0.125
M,0.375,0.13
M,0.395,0.135
M,0.41,0.15
M,0.39,0.14
M,0.38,0.14
M,0.415,0.165
M,0.4,0.165
M,0.415,0.165
M,0.4,0.125
M,0.38,0.13
M,0.42,0.14
M,0.4,0.125
M,0.405,0.16
M,0.41,0.165
M,0.425,0.11
M,0.435,0.155
M,0.405,0.175
M,0.415,0.13
M,0.41,0.14
M,0.42,0.13
M,0.42,0.125
M,0.425,0.155
M,0.43,0.16
M,0.42,0.17
M,0.435,0.16
M,0.425,0.13
M,0.445,0.135
M,0.455,0.16
M,0.43,0.165
M,0.44,0.135
M,0.41,0.165
M,0.435,0.185
M,0.44,0.155
M,0.415,0.13
M,0.42,0.155
M,0.44,0.16
M,0.47,0.15
M,0.455,0.185
M,0.45,0.175
M,0.46,0.13
M,0.47,0.18
M,0.475,0.155
M,0.465,0.175
M,0.48,0.175
M,0.485,0.175
M,0.465,0.165
M,0.48,0.18
M,0.49,0.17
M,0.49,0.19
M,0.475,0.185
M,0.505,0.185
M,0.515,0.175
M,0.49,0.17
M,0.48,0.16
M,0.465,0.14
M,0.47,0.145
M,0.515,0.155
M,0.53,0.175
M,0.5,0.175
M,0.515,0.24
M,0.515,0.18
M,0.525,0.205
M,0.53,0.195
M,0.535,0.205
M,0.525,0.18
M,0.51,0.18
M,0.525,0.185
M,0.545,0.185
M,0.525,0.16
M,0.54,0.21
M,0.52,0.15
M,0.515,0.18
M,0.545,0.185
M,0.55,0.22
M,0.58,0.2
M,0.55,0.195
M,0.55,0.2
M,0.54,0.205
M,0.56,0.175
M,0.55,0.2
M,0.55,0.205
M,0.58,0.19
M,0.575,0.24
M,0.535,0.185
M,0.605,0.2
M,0.605,0.215
M,0.33,0.095
M,0.35,0.14
M,0.335,0.14
M,0.36,0.135
M,0.385,0.145
M,0.38,0.135
M,0.395,0.14
M,0.42,0.125
M,0.395,0.135
M,0.385,0.135
M,0.39,0.15
M,0.385,0.145
M,0.375,0.13
M,0.385,0.12
M,0.38,0.175
M,0.45,0.15
M,0.44,0.205
M,0.41,0.135
M,0.42,0.13
M,0.41,0.125
M,0.45,0.175
M,0.42,0.145
M,0.44,0.14
M,0.42,0.195
M,0.44,0.175
M,0.48,0.18
M,0.45,0.155
M,0.455,0.145
M,0.45,0.14
M,0.45,0.15
M,0.475,0.12
M,0.45,0.15
M,0.455,0.145
M,0.45,0.12
M,0.455,0.155
M,0.475,0.19
M,0.49,0.145
M,0.48,0.15
M,0.495,0.2
M,0.485,0.205
M,0.505,0.165
M,0.51,0.19
M,0.5,0.19
M,0.515,0.175
M,0.495,0.18
M,0.525,0.19
M,0.51,0.165
M,0.535,0.195
M,0.535,0.155
M,0.53,0.205
M,0.55,0.215
M,0.53,0.15
M,0.56,0.22
M,0.57,0.19
M,0.585,0.225
M,0.575,0.19
M,0.325,0.115
M,0.345,0.14
M,0.365,0.095
M,0.35,0.14
M,0.39,0.135
M,0.4,0.14
M,0.4,0.12
M,0.385,0.145
M,0.405,0.145
M,0.4,0.12
M,0.41,0.13
M,0.435,0.16
M,0.42,0.16
M,0.44,0.165
M,0.435,0.145
M,0.415,0.175
M,0.44,0.15
M,0.435,0.135
M,0.45,0.16
M,0.45,0.175
M,0.425,0.135
M,0.465,0.175
M,0.44,0.185
M,0.465,0.125
M,0.43,0.12
M,0.455,0.225
M,0.405,0.15
M,0.475,0.145
M,0.5,0.165
M,0.46,0.155
M,0.495,0.165
M,0.47,0.175
M,0.475,0.18
M,0.47,0.18
M,0.49,0.155
M,0.47,0.115
M,0.475,0.165
M,0.495,0.195
M,0.505,0.225
M,0.51,0.21
M,0.48,0.19
M,0.565,0.23
M,0.49,0.14
M,0.495,0.185
M,0.545,0.16
M,0.52,0.195
M,0.53,0.175
M,0.53,0.17
M,0.535,0.2
M,0.56,0.19
M,0.515,0.175
M,0.57,0.2
M,0.35,0.14
M,0.365,0.14
M,0.415,0.14
M,0.4,0.14
M,0.43,0.165
M,0.405,0.185
M,0.42,0.165
M,0.45,0.16
M,0.455,0.185
M,0.465,0.15
M,0.45,0.16
M,0.47,0.165
M,0.46,0.165
M,0.5,0.2
M,0.45,0.185
M,0.485,0.12
M,0.47,0.145
M,0.485,0.175
M,0.51,0.19
M,0.515,0.17
M,0.48,0.235
M,0.5,0.185
M,0.525,0.2
M,0.485,0.215
M,0.52,0.19
M,0.515,0.2
M,0.545,0.185
M,0.525,0.175
M,0.575,0.23
M,0.565,0.215
M,0.405,0.14
M,0.425,0.155
M,0.415,0.175
M,0.435,0.18
M,0.425,0.16
M,0.47,0.195
M,0.45,0.115
M,0.4,0.155
M,0.435,0.15
M,0.465,0.175
M,0.465,0.19
M,0.455,0.125
M,0.48,0.165
M,0.475,0.17
M,0.495,0.175
M,0.5,0.195
M,0.51,0.23
M,0.52,0.2
M,0.5,0.19
M,0.58,0.205
M,0.485,0.195
M,0.54,0.175
M,0.595,0.23
M,0.585,0.215
M,0.57,0.22
M,0.315,0.125
M,0.395,0.15
M,0.435,0.195
M,0.425,0.12
M,0.41,0.145
M,0.455,0.17
M,0.475,0.195
M,0.49,0.18
M,0.475,0.16
M,0.5,0.24
M,0.48,0.19
M,0.51,0.155
M,0.505,0.165
M,0.485,0.155
M,0.505,0.2
M,0.525,0.165
M,0.53,0.19
M,0.54,0.165
M,0.38,0.155
M,0.395,0.165
M,0.41,0.145
M,0.405,0.155
M,0.435,0.165
M,0.45,0.185
M,0.405,0.16
M,0.475,0.16
M,0.455,0.195
M,0.5,0.16
M,0.515,0.16
M,0.515,0.185
M,0.55,0.2
M,0.57,0.23
M,0.535,0.16
M,0.415,0.13
M,0.425,0.16
M,0.44,0.16
M,0.44,0.175
M,0.435,0.185
M,0.47,0.155
M,0.525,0.155
M,0.515,0.165
M,0.525,0.205
M,0.515,0.175
M,0.525,0.185
M,0.58,0.205
M,0.39,0.15
M,0.475,0.16
M,0.51,0.175
M,0.55,0.17
M,0.555,0.2
M,0.59,0.225
M,0.42,0.14
M,0.505,0.215
M,0.54,0.215
M,0.4,0.16
M,0.49,0.15
M,0.485,0.175
M,0.54,0.185
M,0.495,0.195
M,0.535,0.225